Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Neck Green X meters,Shoulder Orange X meters,Leg Orange X meters,Arm Pink Y meters,Back Pink Y meters,Neck Green Y meters,Shoulder Orange Y meters,Leg Orange Y meters,angular velocity
43.0,354.5,1004.5,530.333313,1020.666687,531.8101807,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515700000.0,-0.8873317846680635,0.7,0.4515347920879509,0.6754977213618312,0.6773788416717351,0.4839133912593432,0.5455953928584545,-1.2794547211631782,-1.3000466017084418,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,0.00013302693789962738
44.0,354.5,1004.5,530.333313,1020.666687,531.8101807,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515716666.8,-0.8873317846680635,0.71666675,0.4515347920879509,0.6754977213618312,0.6773788416717351,0.4839133912593432,0.5455953928584545,-1.2794547211631782,-1.3000466017084418,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,0.0
45.0,354.5,1004.5,530.3621216,1020.168701,531.5856934,871.2238159,379.9204407,875.4886475,428.3469849,1401.296265,1660006515733333.2,-0.8029215705824835,0.73333325,0.4515347920879509,0.6755344155373216,0.6770929070417439,0.4839133912593432,0.5455953928584545,-1.2794547211631782,-1.299412305502595,-1.1096977844131952,-1.1151299983759486,-1.7848632374341244,0.08441021408558003
46.0,354.5,1004.5,530.3621216,1020.168701,531.5,870.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515750000.0,-0.7678425740036441,0.75,0.4515347920879509,0.6755344155373216,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.2794547211631782,-1.299412305502595,-1.1087758434769006,-1.1151299983759486,-1.7848632374341244,0.035078996578839394
47.0,354.4142761,1004.223816,530.3621216,1020.168701,531.5,870.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515766666.8,-0.7678425740036441,0.76666675,0.4514256035876308,0.6755344155373216,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.2791029392590372,-1.299412305502595,-1.1087758434769006,-1.1151299983759486,-1.7848632374341244,0.0
48.0,354.3621521,1003.831299,530.3621216,1019.831299,531.5,870.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515783333.2,-0.769582458119661,0.78333325,0.4513592120516568,0.6755344155373216,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.278602981340882,-1.2989825488258104,-1.1087758434769006,-1.1151299983759486,-1.7848632374341244,-0.0017398841160168876
49.0,354.3621521,1003.831299,530.2402954,1020.0,531.5,870.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515800000.0,-0.768395488420439,0.8,0.4513592120516568,0.6753792427083009,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.278602981340882,-1.2991974271642028,-1.1087758434769006,-1.1151299983759486,-1.7848632374341244,0.0011869696992219403
50.0,353.8717957,1003.772888,530.2402954,1020.0,531.5856934,870.7761841,379.9204407,875.4886475,428.3469849,1401.296265,1660006515816666.5,-0.8021891752168077,0.8166665,0.4507346338425651,0.6753792427083009,0.6770929070417439,0.4839133912593432,0.5455953928584545,-1.2785285819086092,-1.2991974271642028,-1.109127625508414,-1.1151299983759486,-1.7848632374341244,-0.03379368679636863
51.0,353.7088013,1003.739441,530.0,1020.0,531.5,871.0,379.9204407,875.4886475,428.3469849,1401.296265,1660006515833333.2,-0.7696980184630273,0.83333325,0.450527024131661,0.6750731729382622,0.6769837573899743,0.4839133912593432,0.5455953928584545,-1.2784859796965051,-1.2991974271642028,-1.1094127049608045,-1.1151299983759486,-1.7848632374341244,0.03249115675378034
52.0,353.8591003,1003.859131,529.8591309,1019.859131,531.5856934,871.2238159,379.9204407,875.4886475,428.3469849,1401.296265,1660006515850000.0,-0.8042183322669166,0.85,0.4507184634199996,0.6748937447301377,0.6770929070417439,0.4839133912593432,0.5455953928584545,-1.278638431598522,-1.2990179990834507,-1.1096977844131952,-1.1151299983759486,-1.7848632374341244,-0.03452031380388931
