Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
90.0,653.2351074,1720.659668,829.1428834,1440.555542,718.3273926,1041.151855,660.2040405,1304.738281,1659660194505003.5,0.1171124497968814,1.4833335
91.0,653.2351074,1720.659668,829.1428834,1440.555542,718.3273926,1041.151855,660.2040405,1304.738281,1659660194521670.0,0.1171124497968814,1.5
92.0,653.578247,1720.9387208,829.1428834,1440.555542,718.4050903,1041.43042,660.385376,1305.018066,1659660194538336.8,0.0863182671391152,1.51666675
93.0,653.578247,1720.9387208,829.1428834,1440.555542,718.4050903,1041.43042,660.3974609,1305.119629,1659660194555003.5,0.0863182671391152,1.5333335
94.0,653.578247,1720.9387208,829.1428834,1440.555542,718.5,1041.733276,660.5224609,1305.187012,1659660194571670.0,0.0864318373792041,1.55
95.0,653.3692016,1721.2832032,829.1428834,1440.555542,718.3695068,1041.899048,660.4902344,1305.397217,1659660194588336.8,0.1011063476964597,1.56666675
96.0,653.5430908,1721.9326172,829.0,1440.6356202,718.2787476,1041.972656,660.4772949,1305.634155,1659660194605003.2,0.0813680523057345,1.58333325
97.0,653.4485474,1722.5020752,829.0,1441.0,718.2787476,1041.972656,660.2792358,1305.747803,1659660194621670.0,0.0847328757016347,1.6
98.0,653.4485474,1722.5020752,829.2351074,1441.340332,718.2750854,1042.030151,660.2792358,1305.747803,1659660194638336.8,0.0847407563050379,1.61666675
99.0,653.4485474,1722.5020752,829.2351074,1441.340332,718.5120239,1042.343384,660.2712402,1305.844238,1659660194655003.5,0.0848910935789742,1.6333335
100.0,653.4485474,1722.5020752,829.2351074,1441.340332,718.375,1042.44043,660.3365479,1305.937866,1659660194671670.2,0.0848497403940891,1.65000025
101.0,653.4485474,1722.5020752,829.2351074,1441.340332,718.4337158,1042.494263,660.347168,1305.979736,1659660194688336.8,0.0848831246049445,1.66666675
102.0,654.0,1723.7885742,829.2351074,1441.340332,718.4418335,1042.517456,660.4354858,1306.075317,1659660194705003.5,0.0286792234846863,1.6833335
103.0,653.7003784,1724.2172852,829.2351074,1441.340332,718.1967773,1042.891602,660.4171753,1306.239868,1659660194721670.2,0.0502416022171834,1.70000025
