Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Head Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity
62.0,158.5487823,822.8550415,858.0662231,948.7015381,419.5763855,794.7592773,603.5596313,890.5814819,1658971693393336.5,-0.1344596738840965,1.0166665,0.1829243497320205,0.989986826834042,0.4840827937440365,0.6963519459338702,-0.9493622165151264,-1.0945565738773269,-0.9169469603273837,-1.0275010384607457,-0.162141730300081
63.0,158.5487823,822.8550415,857.7976685,948.8187256,419.5763855,794.7592773,603.5,890.3486938,1658971693410003.2,-0.1590709899662215,1.03333325,0.1829243497320205,0.9896769841795612,0.4840827937440365,0.6962831468133853,-0.9493622165151264,-1.0946917779887888,-0.9169469603273837,-1.027232461110607,-0.024611316082124995
64.0,158.5487823,822.8550415,857.5620728,948.7214355,419.4385986,795.0726929,603.5,890.3486938,1658971693426669.8,0.1574432408641645,1.04999975,0.1829243497320205,0.989405167584082,0.4839238232447463,0.6962831468133853,-0.9493622165151264,-1.094579530338446,-0.9173085609905623,-1.027232461110607,0.316514230830386
65.0,158.5487823,822.8550415,857.5620728,948.7214355,419.4385986,795.0726929,603.5,890.3486938,1658971693443336.5,0.1574432408641645,1.0666665,0.1829243497320205,0.989405167584082,0.4839238232447463,0.6962831468133853,-0.9493622165151264,-1.094579530338446,-0.9173085609905623,-1.027232461110607,0.0
66.0,158.6115723,822.8154297,857.4627075,948.815918,419.4385986,795.0726929,603.5,890.3486938,1658971693460003.2,0.1725060959853196,1.08333325,0.1829967931765746,0.9892905256888572,0.4839238232447463,0.6962831468133853,-0.9493165147276286,-1.0946885387434482,-0.9173085609905623,-1.027232461110607,0.0150628551211551
67.0,158.6115723,822.8154297,857.9502563,948.404541,419.5,795.5,603.5,890.3486938,1658971693476669.8,0.1048612110362649,1.09999975,0.1829967931765746,0.989853031095136,0.4839946646035048,0.6962831468133853,-0.9493165147276286,-1.0942139159230893,-0.9178015630323912,-1.027232461110607,-0.0676448849490547
68.0,158.6115723,822.8154297,858.5665283,948.2674561,419.4385986,795.0726929,603.4375,890.322937,1658971693493336.5,0.0637153465851108,1.1166665,0.1829967931765746,0.9905640498315949,0.4839238232447463,0.696211037953939,-0.9493165147276286,-1.0940557553505084,-0.9173085609905623,-1.027202744415071,-0.041145864451154104
69.0,158.8200226,822.7325439,858.5665283,948.2674561,419.2731934,795.0726929,603.833313,890.486084,1658971693510003.2,0.0637158437718817,1.13333325,0.1832372909907224,0.9905640498315949,0.4837329883596506,0.6966677039376833,-0.949220885919592,-1.0940557553505084,-0.9173085609905623,-1.0273909739205445,4.971867709063771e-07
70.0,158.7987366,822.6855469,858.3817139,948.2601318,419.2731934,795.0726929,603.972229,890.1967773,1658971693526670.0,0.070361292658367,1.15,0.1832127324438076,0.9903508217421028,0.4837329883596506,0.6968279771267847,-0.9491666635185136,-1.0940473049998003,-0.9173085609905623,-1.0270571887018698,0.0066454488864853
71.0,158.7987366,822.6855469,857.8838501,947.8838501,419.5,795.5,603.4375,890.322937,1658971693543336.8,0.0468652898740819,1.16666675,0.1832127324438076,0.9897764154896612,0.4839946646035048,0.696211037953939,-0.9491666635185136,-1.0936131730923202,-0.9178015630323912,-1.027202744415071,-0.023496002784285104
72.0,158.7987366,822.6855469,857.8086548,947.7753296,419.4098511,795.4098511,603.3765869,890.2417603,1658971693560003.2,0.0372379352176508,1.18333325,0.1832127324438076,0.9896896595325616,0.4838906560537554,0.6961407599672776,-0.9491666635185136,-1.0934879684606156,-0.9176975544826416,-1.0271090874670614,-0.009627354656431102
73.0,158.7987366,822.6855469,857.8086548,947.7753296,419.3601074,795.1654663,603.3765869,890.2417603,1658971693576670.0,0.0371911750609703,1.2,0.1832127324438076,0.9896896595325616,0.4838332646702092,0.6961407599672776,-0.9491666635185136,-1.0934879684606156,-0.9174155975355376,-1.0271090874670614,-4.676015668050176e-05
74.0,158.7987366,822.6855469,857.8086548,947.7753296,419.4098511,795.4098511,603.5827026,890.1382446,1658971693593336.5,0.0372379352176508,1.2166665,0.1832127324438076,0.9896896595325616,0.4838906560537554,0.6963785642559331,-0.9491666635185136,-1.0934879684606156,-0.9176975544826416,-1.026989657082073,4.676015668050176e-05
75.0,158.7987366,822.6855469,857.713623,947.9121704,419.4098511,795.4098511,603.5827026,890.1382446,1658971693610003.2,0.0570479579251473,1.23333325,0.1832127324438076,0.9895800173772156,0.4838906560537554,0.6963785642559331,-0.9491666635185136,-1.0936458474048352,-0.9176975544826416,-1.026989657082073,0.019810022707496502
76.0,158.7987366,822.6855469,857.3838501,948.3140869,419.4098511,795.4098511,603.7183228,890.1989746,1658971693626670.0,0.1173161709212018,1.25,0.1832127324438076,0.989199544614091,0.4838906560537554,0.6965350349429713,-0.9491666635185136,-1.0941095552513571,-0.9176975544826416,-1.0270597238186197,0.060268212996054504
77.0,158.7987366,822.6855469,857.3838501,948.3140869,419.4098511,795.4098511,603.7183228,890.1989746,1658971693643336.5,0.1173161709212018,1.2666665,0.1832127324438076,0.989199544614091,0.4838906560537554,0.6965350349429713,-0.9491666635185136,-1.0941095552513571,-0.9176975544826416,-1.0270597238186197,0.0
78.0,158.7987366,822.6855469,857.3838501,948.3140869,419.4098511,795.4098511,603.7183228,890.1989746,1658971693660003.2,0.1173161709212018,1.28333325,0.1832127324438076,0.989199544614091,0.4838906560537554,0.6965350349429713,-0.9491666635185136,-1.0941095552513571,-0.9176975544826416,-1.0270597238186197,0.0
79.0,158.7987366,822.6855469,857.5033569,948.2939453,419.4098511,795.4098511,603.7183228,890.1989746,1658971693676669.8,0.1101040712795864,1.29999975,0.1832127324438076,0.989337424598796,0.4838906560537554,0.6965350349429713,-0.9491666635185136,-1.0940863170465027,-0.9176975544826416,-1.0270597238186197,-0.007212099641615413
80.0,158.7987366,822.6855469,857.5033569,948.2939453,419.4098511,795.4098511,603.7183228,890.1989746,1658971693693336.5,0.1101040712795864,1.3166665,0.1832127324438076,0.989337424598796,0.4838906560537554,0.6965350349429713,-0.9491666635185136,-1.0940863170465027,-0.9176975544826416,-1.0270597238186197,0.0
81.0,158.7515564,822.6804199,857.5296021,948.4703979,419.4098511,795.4098511,603.5,890.2963257,1658971693710003.2,0.1296046881239076,1.33333325,0.1831582986772404,0.9893677047818032,0.4838906560537554,0.6962831468133853,-0.9491607482845554,-1.0942898977782198,-0.9176975544826416,-1.027172041847209,0.01950061684432121
82.0,158.7723236,822.7270508,857.2938232,948.7653809,419.4134216,795.5632935,603.5,890.2963257,1658971693726669.8,0.1736362267638886,1.34999975,0.1831822586629347,0.9890956768208352,0.4838947754886779,0.6962831468133853,-0.9492145483007788,-1.094630231981197,-0.917874587385917,-1.027172041847209,0.044031538639980994
83.0,159.144989,822.6047363,857.3901978,948.6780396,419.5,795.5,603.5,890.2963257,1658971693743336.5,0.1595334455337012,1.3666665,0.1836122182941203,0.9892068682206048,0.4839946646035048,0.6962831468133853,-0.9490734289553588,-1.094529462676788,-0.9178015630323912,-1.027172041847209,-0.014102781230187406
84.0,159.1685333,822.6504517,857.5319214,948.4680786,419.4134216,795.5632935,603.5,890.2963257,1658971693760003.2,0.1292781470126958,1.38333325,0.1836393823360317,0.9893703806550466,0.4838947754886779,0.6962831468133853,-0.9491261727210089,-1.0942872219049766,-0.917874587385917,-1.027172041847209,-0.03025529852100539
