Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),Seconds
167.0,295.2530823,880.2129517,317.0,912.0,584.8292236,1039.275513,1660786906766666.8,2.76666675
168.0,287.6962891,885.2592773,311.8533325,886.8533325,584.8292236,1039.275513,1660786906783333.2,2.78333325
169.0,287.6962891,885.2592773,311.8533325,886.8533325,584.0886841,1039.053711,1660786906800000.0,2.8
170.0,300.3262329,879.5460815,284.2170105,889.6046753,583.7404175,1039.179932,1660786906816666.5,2.8166665
171.0,300.3262329,879.5460815,284.2170105,889.6046753,583.5999756,1039.341675,1660786906833333.2,2.83333325
172.0,300.3262329,879.5460815,284.2170105,889.6046753,583.8256226,1039.638428,1660786906850000.0,2.85
173.0,300.3262329,879.5460815,284.2170105,889.6046753,583.5,1039.5,1660786906866666.5,2.8666665
174.0,300.3262329,879.5460815,284.2170105,889.6046753,583.3023682,1039.828613,1660786906883333.5,2.8833335
175.0,300.3262329,879.5460815,284.2170105,889.6046753,583.3659058,1040.223022,1660786906900000.0,2.9
176.0,300.3262329,879.5460815,284.2170105,889.6046753,582.743103,1040.256958,1660786906916666.8,2.91666675
177.0,300.3262329,879.5460815,284.2170105,889.6046753,581.8756714,1040.78833,1660786906933333.5,2.9333335
178.0,300.3262329,879.5460815,284.2170105,889.6046753,581.644104,1040.694214,1660786906950000.0,2.95
179.0,300.3262329,879.5460815,284.2170105,889.6046753,581.6723633,1041.267822,1660786906966666.8,2.96666675
180.0,300.3262329,879.5460815,284.2170105,889.6046753,580.609375,1041.367188,1660786906983333.2,2.98333325
181.0,297.3130188,886.5986328,308.5,888.2416382,580.3817139,1041.403198,1660786907000000.0,3.0
182.0,308.2380981,888.6190186,297.7069092,891.0344849,580.1143799,1041.408813,1660786907016666.8,3.01666675
183.0,308.2380981,888.6190186,297.7069092,891.0344849,579.6958008,1041.608398,1660786907033333.2,3.03333325
184.0,308.2380981,888.6190186,297.7069092,891.0344849,579.6209717,1041.879028,1660786907050000.0,3.05
185.0,308.2380981,888.6190186,297.7069092,891.0344849,579.5,1041.5,1660786907066666.5,3.0666665
186.0,308.2380981,888.6190186,297.7069092,891.0344849,579.3389282,1041.661011,1660786907083333.2,3.08333325
187.0,308.2380981,888.6190186,297.7069092,891.0344849,579.4365845,1041.501465,1660786907100000.0,3.1
188.0,308.2380981,888.6190186,297.7069092,891.0344849,579.5090942,1041.427246,1660786907116666.5,3.1166665
189.0,308.2380981,888.6190186,297.7069092,891.0344849,579.2550659,1040.744873,1660786907133333.5,3.1333335
190.0,308.2380981,888.6190186,297.7069092,891.0344849,579.2550659,1040.744873,1660786907150000.0,3.15
191.0,308.2380981,888.6190186,297.7069092,891.0344849,579.1102295,1041.016113,1660786907166666.8,3.16666675
192.0,308.2380981,888.6190186,297.7069092,891.0344849,579.2550659,1040.744873,1660786907183333.5,3.1833335
193.0,308.2380981,888.6190186,297.7069092,891.0344849,579.2550659,1040.744873,1660786907200000.0,3.2
194.0,308.2380981,888.6190186,297.7069092,891.0344849,579.3942261,1041.086548,1660786907216666.8,3.21666675
195.0,308.2380981,888.6190186,297.7069092,891.0344849,579.3942261,1041.086548,1660786907233333.2,3.23333325
196.0,308.2380981,888.6190186,297.7069092,891.0344849,579.3389282,1041.661011,1660786907250000.0,3.25
197.0,308.2380981,888.6190186,297.7069092,891.0344849,579.6825562,1041.682495,1660786907266666.8,3.26666675
198.0,308.2380981,888.6190186,297.7069092,891.0344849,580.2565918,1042.58728,1660786907283333.2,3.28333325
199.0,308.2380981,888.6190186,297.7069092,891.0344849,579.9857178,1042.359497,1660786907300000.0,3.3
200.0,308.2380981,888.6190186,297.7069092,891.0344849,580.8222046,1042.827759,1660786907316666.5,3.3166665
201.0,308.2380981,888.6190186,297.7069092,891.0344849,581.3102417,1043.155151,1660786907333333.2,3.33333325
202.0,308.2380981,888.6190186,297.7069092,891.0344849,581.3389282,1043.661011,1660786907350000.0,3.35
203.0,308.2380981,888.6190186,297.7069092,891.0344849,581.2749634,1044.296875,1660786907366666.5,3.3666665
204.0,308.2380981,888.6190186,297.7069092,891.0344849,581.6610718,1044.338989,1660786907383333.5,3.3833335
205.0,308.2380981,888.6190186,297.7069092,891.0344849,581.5,1044.5,1660786907400000.0,3.4
206.0,308.2380981,888.6190186,297.7069092,891.0344849,581.4264526,1045.087036,1660786907416666.8,3.41666675
207.0,308.2380981,888.6190186,297.7069092,891.0344849,581.3174438,1045.317505,1660786907433333.5,3.4333335
208.0,308.2380981,888.6190186,297.7069092,891.0344849,580.9144287,1045.362793,1660786907450000.0,3.45
209.0,308.2380981,888.6190186,297.7069092,891.0344849,581.2242432,1045.472778,1660786907466666.8,3.46666675
210.0,308.2380981,888.6190186,297.7069092,891.0344849,581.2371826,1045.24353,1660786907483333.2,3.48333325
211.0,308.2380981,888.6190186,297.7069092,891.0344849,581.4365845,1045.501465,1660786907500000.0,3.5
212.0,308.2380981,888.6190186,297.7069092,891.0344849,581.5,1045.0,1660786907516666.8,3.51666675
213.0,308.2380981,888.6190186,297.7069092,891.0344849,581.7404175,1045.179932,1660786907533333.2,3.53333325
214.0,308.2380981,888.6190186,297.7069092,891.0344849,581.9661255,1045.197754,1660786907550000.0,3.55
215.0,308.2380981,888.6190186,297.7069092,891.0344849,581.7177124,1045.105103,1660786907566666.5,3.5666665
