Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
39.0,282.369873,1039.561646,735.5439453,1223.108032,462.2234192,1208.5,1658965714633333.5,139.85179473649396,0.6333335,0.27006986694431495,0.7035037177598175,0.44208900898535425,-0.9942784349930741,-1.1698295570673822,-1.155857849616289
40.0,282.1584473,1039.524658,735.8761597,1222.837891,462.2234192,1208.5,1658965714650000.0,139.8190160573726,0.65,0.2698676509286297,0.7038214609306868,0.44208900898535425,-0.9942430581869991,-1.169571183384839,-1.155857849616289
41.0,281.8403015,1040.08252,736.4065552,1223.110596,462.2234192,1208.5,1658965714666666.8,140.0150435214593,0.66666675,0.2695633635308205,0.7043287524508159,0.44208900898535425,-0.9947766197688795,-1.1698320093797747,-1.155857849616289
42.0,281.7545776,1040.316162,736.4536743,1223.091064,462.5,1208.5,1658965714683333.5,140.11053265619398,0.6833335,0.26948137375612896,0.7043738190470938,0.4423535419507933,-0.995000084344552,-1.169813328191923,-1.155857849616289
43.0,281.4417725,1040.934937,736.4195557,1222.723022,461.5613403,1208.715698,1658965714700000.0,139.94861291982943,0.7,0.2691821944179122,0.7043411866502152,0.4414557701821847,-0.9955919055616775,-1.16946131806806,-1.1560641518309738
44.0,281.4574585,1041.161987,736.5794678,1223.049805,461.5613403,1208.715698,1658965714716666.8,140.0510257494611,0.71666675,0.26919719713717494,0.7044941329936438,0.4414557701821847,-0.9958090652842719,-1.1697738664302209,-1.1560641518309738
45.0,281.3458557,1041.369751,736.4579468,1223.031128,461.2476501,1208.971924,1658965714733333.2,139.95152209839017,0.73333325,0.2690904557450201,0.7043779054373813,0.44115574429884363,-0.9960077791032771,-1.1697560029986467,-1.1563092166496547
46.0,280.9349365,1041.448608,736.6179199,1223.021973,461.2476501,1208.971924,1658965714750000.0,140.02656411286767,0.75,0.2686974361480999,0.7045309101236557,0.44115574429884363,-0.9960832010995098,-1.1697472467896162,-1.1563092166496547
47.0,280.807373,1041.357544,736.5596313,1223.159058,461.2476501,1208.971924,1658965714766666.8,140.06031447871823,0.76666675,0.2685754293025893,0.7044751605697847,0.44115574429884363,-0.9959961038390899,-1.1698783603794505,-1.1563092166496547
48.0,280.8513489,1041.374023,736.5596313,1223.159058,461.2476501,1208.971924,1658965714783333.2,140.05615965502926,0.78333325,0.26861748961637416,0.7044751605697847,0.44115574429884363,-0.9960118650153447,-1.1698783603794505,-1.1563092166496547
49.0,281.0237122,1041.124512,736.5596313,1223.421997,461.2476501,1208.971924,1658965714800000.0,140.0409127083376,0.8,0.26878234478666024,0.7044751605697847,0.44115574429884363,-0.995773222691873,-1.17012984578046,-1.1563092166496547
50.0,281.3239746,1040.836304,736.6298218,1222.990723,461.2476501,1208.971924,1658965714816666.5,139.8539729705507,0.8166665,0.26906952778375137,0.7045422935779712,0.44115574429884363,-0.9954975690062111,-1.1697173580367817,-1.1563092166496547
51.0,281.2954102,1040.320679,736.4414673,1223.276978,461.2476501,1208.971924,1658965714833333.2,139.8324151046525,0.83333325,0.26904220764642445,0.7043621437829066,0.44115574429884363,-0.9950044045844416,-1.1699911437949464,-1.1563092166496547
52.0,281.4290771,1039.838013,736.5984497,1222.922485,461.4367676,1209.19043,1658965714850000.0,139.6039441117362,0.85,0.2691700520283846,0.7045122880438016,0.44133662385769745,-0.9945427634716217,-1.1696520924778722,-1.1565182045481142
53.0,281.4577332,1039.5,736.5984497,1222.922485,461.4367676,1209.19043,1658965714866666.5,139.54237207913846,0.8666665,0.26919745987126786,0.7045122880438016,0.44133662385769745,-0.9942194742872424,-1.1696520924778722,-1.1565182045481142
54.0,281.8826904,1039.307739,736.5984497,1222.922485,461.4367676,1209.19043,1658965714883333.5,139.44237340715856,0.8833335,0.2696039059741814,0.7045122880438016,0.44133662385769745,-0.9940355881589636,-1.1696520924778722,-1.1565182045481142
