Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
158.0,375.0,1233.5,469.5,1694.5,426.0,1068.4021,525.666687,1243.5,541.5,1016.0,1660879944616666.5,-3.0242775034225526,2.6166665
159.0,375.0,1233.5,469.5,1694.5,427.8907166,1068.415283,527.5,1243.5,541.5,1016.0,1660879944633333.5,-3.0221563908499958,2.6333335
160.0,375.0,1233.5,469.5,1694.5,429.3544922,1068.677246,529.1044312,1243.164673,541.5,1016.0,1660879944650000.0,-3.0244295376546146,2.65
161.0,375.0,1233.5,469.5,1694.5,430.75177,1068.46814,530.5,1243.0,541.5,1016.0,1660879944666666.8,-3.0244756314982917,2.66666675
162.0,375.0,1233.5,469.5,1694.5,432.6071472,1067.726196,532.5,1242.740234,541.5,1016.0,1660879944683333.5,-3.0244571541776133,2.6833335
163.0,387.0,1232.0,474.7212219,1692.721191,434.6000061,1067.483276,534.3236694,1243.227051,541.5,1016.0,1660879944700000.0,-3.014433916316891,2.7
164.0,388.1929932,1232.807007,474.8364868,1692.710693,436.3768005,1067.0,535.2270508,1242.67627,541.5,1016.0,1660879944716666.8,-3.0198123319731702,2.71666675
165.0,390.0,1232.623169,475.7160645,1692.716064,437.4338684,1066.724854,537.0,1242.5,561.5,1017.0,1660879944733333.2,-8.080648905777391,2.73333325
166.0,391.5,1232.5,476.3128357,1691.969238,439.1092834,1066.781372,538.5,1242.5,561.5,1017.0,1660879944750000.0,-8.07933668096113,2.75
167.0,393.3086548,1231.864258,476.4153137,1691.174805,440.8364868,1066.710693,540.5,1242.5,561.5,1017.0,1660879944766666.8,-8.076497432900437,2.76666675
168.0,394.5,1231.5,476.5,1690.5,442.379303,1066.379272,541.6481323,1242.259277,561.5,1017.0,1660879944783333.2,-8.082856878948052,2.78333325
169.0,396.3650818,1231.769897,477.0,1689.862793,444.0,1066.4021,543.2755737,1242.0,561.5,1017.0,1660879944800000.0,-8.088264014658744,2.8
170.0,396.3650818,1231.769897,477.0,1689.862793,445.1092834,1065.584717,544.7333374,1241.542847,561.5,1017.0,1660879944816666.5,-8.100435260578502,2.8166665
171.0,399.1372681,1231.0,477.0,1688.5,446.6000061,1065.483276,546.5,1241.0,561.5,1017.0,1660879944833333.2,-8.113929826302774,2.83333325
172.0,400.3603516,1230.360352,476.7011414,1688.5,448.3398743,1065.071899,547.6033936,1240.911377,561.5,1017.0,1660879944850000.0,-8.112888974019304,2.85
173.0,400.3603516,1230.360352,476.7011414,1688.5,449.3435974,1064.76416,549.0,1240.5,561.5,1017.0,1660879944866666.5,-8.121743062512795,2.8666665
