Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
82.0,382.3725586,897.2156982,420.2787781,1222.721191,398.8871765,735.6871948,491.8468018,858.3995972,494.5,689.2416382,1660610146665000.0,0.33079853131273557,1.35
83.0,382.3725586,897.2156982,420.2787781,1222.721191,398.8871765,735.6871948,491.8468018,858.3995972,495.0,689.0,1660610146681666.5,0.16301561989693944,1.3666665
84.0,382.3725586,897.2156982,420.2787781,1222.721191,399.3852844,735.5800781,491.8468018,858.3995972,495.0,689.0,1660610146698333.5,0.16301561989693944,1.3833335
85.0,382.3725586,897.2156982,420.2787781,1222.721191,399.1872253,735.7260132,491.8468018,858.3995972,495.0,689.0,1660610146715000.2,0.16301561989693944,1.40000025
86.0,382.3725586,897.2156982,420.2787781,1222.721191,399.1872253,735.7260132,491.8468018,858.3995972,495.3603516,689.3603516,1660610146731666.8,0.03864938409712621,1.41666675
87.0,382.3725586,897.2156982,420.2787781,1222.721191,399.5,736.5,491.8468018,858.3995972,495.0,689.5,1660610146748333.5,0.1598595106630433,1.4333335
88.0,382.3725586,897.2156982,420.2787781,1222.721191,399.5,736.5,491.8468018,858.3995972,494.8581543,689.3900757,1660610146765000.0,0.20862598121017115,1.45
89.0,382.3725586,897.2156982,420.2787781,1222.721191,399.5,736.5,491.8468018,858.3995972,494.8581543,689.3900757,1660610146781666.8,0.20862598121017115,1.46666675
90.0,382.0,897.5,420.2787781,1222.721191,400.0,736.0666504,491.8468018,858.3995972,494.8581543,689.3900757,1660610146798333.5,0.20862598121017115,1.4833335
91.0,382.0,897.5,420.2787781,1222.721191,400.0,736.0666504,491.8468018,858.3995972,494.8581543,689.3900757,1660610146815000.0,0.20862598121017115,1.5
92.0,382.0,897.666687,420.2787781,1222.721191,400.0,736.0666504,491.8468018,858.3995972,494.8581543,689.3900757,1660610146831666.8,0.20862598121017115,1.51666675
93.0,381.6666565,898.0,420.2787781,1222.721191,399.5,736.5,491.8999939,858.6400146,494.5,689.2416382,1660610146848333.2,0.33028844099639,1.53333325
94.0,381.5,897.5,420.0327759,1222.699463,400.0,736.0666504,491.9869995,858.5649414,494.5,689.2416382,1660610146865000.0,0.33037532498362465,1.55
95.0,381.5,897.5,420.0327759,1222.699463,400.0,736.0666504,491.9869995,858.5649414,494.5,689.2416382,1660610146881666.8,0.33037532498362465,1.56666675
