Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
106.0,384.3763428,1846.510742,214.9284515,1072.802734,268.9829712,1380.882324,1660173589750000.0,0.0825915771513945,1.75
107.0,383.9651184,1846.810059,212.9866638,1073.60376,269.090271,1380.525024,1660173589766666.8,0.0466248070589041,1.76666675
108.0,384.1710815,1847.109375,212.8152161,1073.793457,268.9656677,1380.834106,1660173589783333.2,0.0562670524193009,1.78333325
109.0,383.7148743,1846.893555,212.9246674,1073.619629,268.8088989,1380.599976,1660173589800000.0,0.0275706230700707,1.8
110.0,383.7148743,1846.893555,212.8152161,1073.793457,268.8502197,1380.568237,1660173589816666.5,0.0274142757835117,1.8166665
111.0,383.7148743,1846.893555,212.8152161,1073.793457,268.7627563,1380.665161,1660173589833333.2,0.0274142757835117,1.83333325
112.0,383.4807739,1847.057739,212.9032745,1073.547485,268.7627563,1380.665161,1660173589850000.0,0.0084656171262206,1.85
113.0,383.4807739,1847.057739,212.9693909,1073.489746,268.7627563,1380.665161,1660173589866666.5,0.0085520209604683,1.8666665
114.0,383.4807739,1847.057739,212.9693909,1073.489746,268.1691589,1380.747925,1660173589883333.5,0.0085520209604683,1.8833335
115.0,383.7505188,1847.198364,212.9693909,1073.489746,268.1691589,1380.747925,1660173589900000.0,0.025411838673572,1.9
116.0,383.747406,1847.256714,212.9032745,1073.547485,268.0161133,1380.793823,1660173589916666.8,0.0241953085609408,1.91666675
117.0,383.8397522,1847.848267,212.9494934,1073.550537,267.7621155,1380.95459,1660173589933333.5,0.0215486576807689,1.9333335
118.0,383.7662048,1848.046265,212.8255615,1073.604492,267.6387634,1380.825317,1660173589950000.0,0.0131159563060084,1.95
119.0,383.5,1848.5,212.6014099,1073.638428,267.255249,1380.954956,1660173589966666.8,0.0130006734065984,1.96666675
120.0,383.4931641,1848.568481,212.6014099,1073.638428,267.1520386,1381.046753,1660173589983333.2,0.0145475801266318,1.98333325
121.0,385.5,1851.5,212.6014099,1073.638428,267.1507263,1381.102905,1660173590000000.0,0.0809718403389382,2.0
122.0,382.4122009,1849.186401,212.6014099,1073.638428,267.1507263,1381.102905,1660173590016666.8,0.1003316938258752,2.01666675
123.0,382.4122009,1849.186401,212.6014099,1073.638428,267.0680847,1381.201416,1660173590033333.2,0.1003316938258752,2.03333325
124.0,380.8548279,1850.145142,212.9851074,1073.18811,266.903595,1381.16394,1660173590050000.0,0.224089198697104,2.05
125.0,381.2391968,1850.890625,212.9375,1073.5,266.8136902,1381.241577,1660173590066666.5,0.2086116752482544,2.0666665
