Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds
150.0,295.8166809,1029.052612,747.666687,1225.640869,469.7528992,1209.459351,1658965325483333.2,137.28614202155185,2.48333325
151.0,296.5448914,1028.996338,747.9364014,1225.541992,469.7528992,1209.459351,1658965325500000.0,137.1335935217343,2.5
152.0,296.8155823,1028.750244,748.0661621,1225.625122,469.8325195,1209.330078,1658965325516666.8,137.12647583012676,2.51666675
153.0,297.2450867,1028.642212,747.909668,1225.768433,470.1168213,1209.08252,1658965325533333.2,137.210209941819,2.53333325
154.0,297.3308411,1028.629395,748.4329224,1225.608521,470.4014893,1209.053345,1658965325550000.0,137.21593146098073,2.55
155.0,297.5104675,1028.280396,748.116333,1225.630005,470.3426819,1209.06543,1658965325566666.5,137.12433844176957,2.5666665
156.0,297.7418518,1028.271973,748.1633301,1225.613159,470.3455505,1209.182007,1658965325583333.2,137.0387348997211,2.58333325
157.0,297.7610168,1028.572388,748.4532471,1225.559326,470.4034119,1209.115234,1658965325600000.0,137.1031326461874,2.6
158.0,297.8666687,1028.550049,748.392334,1225.636475,470.3487549,1209.123413,1658965325616666.5,137.08594786989983,2.6166665
159.0,298.1131592,1028.521484,748.6721191,1226.125122,470.4034119,1209.115234,1658965325633333.5,137.15005571871455,2.6333335
160.0,298.4308777,1028.230835,748.6721191,1226.125122,470.4034119,1209.115234,1658965325650000.0,137.05122635571956,2.65
161.0,298.9285583,1028.037598,748.6171265,1226.095093,470.6307983,1209.067261,1658965325666666.8,136.99048698274586,2.66666675
162.0,299.2639771,1027.806519,748.6171265,1226.095093,470.660553,1208.944946,1658965325683333.5,136.9478280340635,2.6833335
163.0,299.2669373,1028.058716,748.7711792,1225.976196,470.660553,1208.944946,1658965325700000.0,136.96083493104877,2.7
164.0,299.1653748,1028.025635,748.647644,1226.125122,470.660553,1208.944946,1658965325716666.8,137.00468282465286,2.71666675
165.0,299.1062927,1027.874023,748.4871826,1225.834717,470.660553,1208.944946,1658965325733333.2,136.9329457772597,2.73333325
166.0,299.2679443,1027.716675,748.5,1226.0,470.6307983,1209.067261,1658965325750000.0,136.86516452412536,2.75
167.0,299.1552734,1027.868774,748.6190186,1226.202759,470.6307983,1209.067261,1658965325766666.8,136.94810924046843,2.76666675
168.0,298.9346313,1027.844482,748.6190186,1226.202759,470.6251831,1209.12439,1658965325783333.2,136.95930499762386,2.78333325
169.0,298.9771118,1028.109375,748.5512085,1226.636475,470.6251831,1209.12439,1658965325800000.0,137.08398098596112,2.8
170.0,298.9107056,1028.797485,748.5512085,1226.636475,470.6251831,1209.12439,1658965325816666.5,137.2040150525261,2.8166665
171.0,298.3357849,1028.682617,748.5512085,1226.636475,470.5,1209.231323,1658965325833333.2,137.22012019030632,2.83333325
172.0,297.8656311,1029.052979,748.5,1226.218872,470.0580444,1209.819214,1658965325850000.0,136.9791945634437,2.85
173.0,297.9040527,1029.107056,748.0933228,1226.877319,470.0580444,1209.819214,1658965325866666.5,137.12148848297826,2.8666665
174.0,297.7027283,1029.17041,748.036438,1226.535156,470.0580444,1209.819214,1658965325883333.5,137.095417260381,2.8833335
175.0,297.5606689,1029.560669,748.0911255,1226.729126,470.2652588,1210.116943,1658965325900000.0,137.1485776041532,2.9
176.0,297.5251465,1029.591797,748.2058716,1226.790161,470.0447693,1210.187378,1658965325916666.8,137.1056372712337,2.91666675
177.0,297.5606689,1029.560669,747.9674072,1226.765625,469.960968,1210.247192,1658965325933333.5,137.05600341000954,2.9333335
178.0,297.6666565,1029.517822,748.1080933,1226.873901,470.0144958,1210.264038,1658965325950000.0,137.055549866066,2.95
179.0,297.5606689,1029.560669,747.8024292,1226.855713,470.16745,1210.588379,1658965325966666.8,136.98917126693894,2.96666675
180.0,297.5606689,1029.560669,748.1195068,1226.972168,469.9764404,1210.494995,1658965325983333.2,137.0092176550959,2.98333325
181.0,297.4714355,1029.37146,748.104248,1227.227661,469.9526062,1210.859375,1658965326000000.0,136.9102027665515,3.0
182.0,297.5178528,1029.382202,748.0585327,1227.234009,469.9526062,1210.859375,1658965326016666.8,136.90605127078035,3.01666675
183.0,297.5178528,1029.382202,748.0585327,1227.234009,470.0975952,1210.635132,1658965326033333.2,137.01329003251104,3.03333325
184.0,297.5428467,1029.270264,748.1505127,1227.28833,470.1263733,1210.873657,1658965326050000.0,136.92004480357886,3.05
185.0,297.4822693,1029.414917,748.1505127,1227.28833,469.8969727,1210.931763,1658965326066666.5,136.8909796784301,3.0666665
186.0,297.4822693,1029.414917,748.4414673,1227.276978,470.2109375,1210.93396,1658965326083333.2,136.94018389630364,3.08333325
187.0,297.4826355,1029.416626,748.5560303,1227.140747,470.1768494,1210.893555,1658965326100000.0,136.91966865317278,3.1
188.0,297.5493469,1029.507568,748.5560303,1227.140747,470.2615662,1210.953735,1658965326116666.5,136.91616874118023,3.1166665
189.0,297.4901428,1029.490112,748.4950562,1227.258789,470.096344,1211.110107,1658965326133333.5,136.8620969013369,3.1333335
190.0,297.5075073,1029.531738,748.4950562,1227.258789,470.0959473,1211.176758,1658965326150000.0,136.84153480538757,3.15
191.0,297.8628845,1029.46814,748.2434082,1227.349976,470.0202026,1211.550537,1658965326166666.8,136.6452684460559,3.16666675
192.0,297.7738953,1029.482544,748.2434082,1227.349976,470.0202026,1211.550537,1658965326183333.5,136.66231273691284,3.1833335
193.0,297.7511597,1029.440186,748.3474121,1227.389648,470.1237183,1211.510254,1658965326200000.0,136.69935184694864,3.2
194.0,297.7955017,1029.457397,748.4950562,1227.258789,470.2903748,1211.510254,1658965326216666.8,136.6957066176422,3.21666675
195.0,297.5,1029.323486,748.4950562,1227.258789,470.4497681,1211.384399,1658965326233333.2,136.79748991279007,3.23333325
196.0,297.4321289,1029.567871,748.4950562,1227.258789,470.4497681,1211.384399,1658965326250000.0,136.84714742351767,3.25
197.0,297.6124878,1029.599487,748.4950562,1227.258789,470.6485901,1211.57959,1658965326266666.8,136.7866820840179,3.26666675
198.0,297.5664368,1029.891602,748.5560303,1227.140747,470.2910461,1211.266724,1658965326283333.2,136.86554652896615,3.28333325
199.0,297.3088074,1030.477173,748.4950562,1227.258789,470.2200317,1211.730713,1658965326300000.0,136.8445132761186,3.3
200.0,297.0129089,1030.545166,748.7044678,1227.162476,470.1191711,1211.764893,1658965326316666.5,136.8518076418042,3.3166665
201.0,296.7723694,1030.682861,748.5560303,1227.140747,470.0202026,1211.550537,1658965326333333.2,136.9709192372204,3.33333325
202.0,296.6768799,1031.08728,748.5560303,1227.140747,470.0202026,1211.550537,1658965326350000.0,137.05076376891165,3.35
203.0,296.5456543,1031.288208,748.5560303,1227.140747,470.0202026,1211.550537,1658965326366666.5,137.10431575244735,3.3666665
204.0,296.528595,1031.363525,748.5560303,1227.140747,470.0202026,1211.550537,1658965326383333.5,137.1190942049495,3.3833335
205.0,296.3063049,1031.215088,748.5560303,1227.140747,470.0202026,1211.550537,1658965326400000.0,137.13217696036818,3.4
206.0,295.9625854,1031.323975,748.5560303,1227.140747,470.0202026,1211.550537,1658965326416666.8,137.2060598584334,3.41666675
207.0,296.0874023,1031.363647,748.8798828,1227.268555,470.0202026,1211.550537,1658965326433333.5,137.21428931714485,3.4333335
208.0,295.6098633,1031.424194,748.8798828,1227.268555,470.0202026,1211.550537,1658965326450000.0,137.30241303166125,3.45
209.0,295.459198,1031.979614,748.8798828,1227.268555,470.0202026,1211.550537,1658965326466666.8,137.41557036296444,3.46666675
210.0,295.3171997,1032.274536,748.8798828,1227.268555,470.0202026,1211.550537,1658965326483333.2,137.48592812409274,3.48333325
211.0,294.5361938,1032.996704,748.774292,1227.397583,469.956665,1211.555054,1658965326500000.0,137.7441817017213,3.5
212.0,294.118866,1033.043091,748.7288208,1227.408691,469.836853,1211.631592,1658965326516666.8,137.77362055737683,3.51666675
213.0,293.8431396,1033.116455,748.5203247,1227.422729,469.772583,1211.635376,1658965326533333.2,137.82300519832063,3.53333325
