Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds
114.0,361.1673584,903.1385498,941.9507446,1116.804321,606.772583,1102.5,1660091103925003.5,143.37695880332925,1.8833335
115.0,361.1673584,903.1385498,941.9507446,1116.804321,606.6986084,1102.420166,1660091103941670.2,143.39282286421013,1.90000025
116.0,361.1673584,903.1385498,942.0222168,1116.602661,606.6414185,1102.358521,1660091103958336.8,143.3701479414284,1.91666675
117.0,361.1673584,903.1385498,942.1151733,1116.981812,606.6986084,1102.420166,1660091103975003.5,143.42188258881436,1.9333335
118.0,361.0,903.2493286,942.2717285,1117.170898,606.8977051,1102.320068,1660091103991670.2,143.54298166141967,1.95000025
119.0,361.0466003,903.2683716,941.6828003,1116.90332,606.5933838,1102.304077,1660091104008336.8,143.4671079189629,1.96666675
120.0,361.0990295,903.2119751,941.4960938,1116.718384,606.4680786,1102.384766,1660091104025003.5,143.38262479930594,1.9833335
121.0,361.1673584,903.1385498,941.6281738,1116.828735,606.4680786,1102.384766,1660091104041670.0,143.38234736959097,2.0
122.0,361.0466003,903.2683716,941.9529419,1116.925537,606.546875,1102.465332,1660091104058336.8,143.413038693492,2.01666675
123.0,361.1056213,903.4307251,941.9529419,1116.925537,606.546875,1102.465332,1660091104075003.5,143.42915502985883,2.0333335
124.0,361.1673584,903.1385498,941.9529419,1116.925537,606.5617065,1102.561646,1660091104091670.0,143.35281269397052,2.05
125.0,361.0466003,903.2683716,941.9529419,1116.925537,606.7431641,1102.335327,1660091104108336.8,143.47736272169672,2.06666675
126.0,361.1673584,903.1385498,941.81427,1117.014038,606.4680786,1102.384766,1660091104125003.2,143.41258033218705,2.08333325
127.0,361.1673584,903.1385498,941.6988525,1116.599487,606.5617065,1102.561646,1660091104141670.0,143.29902737698873,2.1
128.0,361.1673584,903.1385498,941.81427,1117.014038,606.5617065,1102.561646,1660091104158336.8,143.36892305002047,2.11666675
129.0,361.1673584,903.1385498,941.81427,1117.014038,606.5617065,1102.561646,1660091104175003.5,143.36892305002047,2.1333335
130.0,361.1673584,903.1385498,941.81427,1117.014038,606.6414185,1102.641479,1660091104191670.2,143.35377149396564,2.15000025
131.0,361.1673584,903.1385498,941.7753296,1117.191406,606.6414185,1102.641479,1660091104208336.8,143.38432360260816,2.16666675
