Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
68.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6382294,1045.031616,131.5,1304.5,1659998217543336.8,0.2417244153886514,1.11666675,0.26280777850875026,0.5477916687466828,0.22743831928723862,0.21572793533002144,2.8484699371956705,2.0412690755438545,1.7143917328842266,2.140053928806182
69.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5821533,1045.03125,131.1988831,1304.5,1659998217560003.5,0.2416556634347501,1.1333335,0.26280777850875026,0.5477916687466828,0.2273463255132891,0.21523394805146648,2.8484699371956705,2.0412690755438545,1.7143911324551442,2.140053928806182
70.0,160.1981812,1736.324951,333.9141235,1244.284302,138.4416656,1045.344971,131.1015778,1304.40918,1659998217576670.2,0.241488042320293,1.15000025,0.26280777850875026,0.5477916687466828,0.22711585310674717,0.2150743170897504,2.8484699371956705,2.0412690755438545,1.71490579696921,2.139904937086892
71.0,160.1981812,1736.324951,333.9141235,1244.284302,138.470047,1045.030762,131.1015778,1304.40918,1659998217593336.8,0.2415182775711857,1.16666675,0.26280777850875026,0.5477916687466828,0.2271624132651029,0.2150743170897504,2.8484699371956705,2.0412690755438545,1.7143903318830347,2.139904937086892
72.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5786133,1044.96228,131.1988831,1304.5,1659998217610003.5,0.2416501891945599,1.1833335,0.26280777850875026,0.5477916687466828,0.22734051808445968,0.21523394805146648,2.8484699371956705,2.0412690755438545,1.7142779860239676,2.140053928806182
73.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5821533,1045.03125,131.1015778,1304.40918,1659998217626670.0,0.2416556634347501,1.2,0.26280777850875026,0.5477916687466828,0.2273463255132891,0.2150743170897504,2.8484699371956705,2.0412690755438545,1.7143911324551442,2.139904937086892
74.0,160.1981812,1736.324951,333.9141235,1244.284302,138.4888916,1045.254761,131.1015778,1304.40918,1659998217643336.8,0.2415447245801373,1.21666675,0.26280777850875026,0.5477916687466828,0.22719332814457147,0.2150743170897504,2.8484699371956705,2.0412690755438545,1.714757805965057,2.139904937086892
75.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5544739,1045.169067,131.1015778,1304.40918,1659998217660003.5,0.2416238976096134,1.2333335,0.26280777850875026,0.5477916687466828,0.22730091699759958,0.2150743170897504,2.8484699371956705,2.0412690755438545,1.7146172235339532,2.139904937086892
76.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6369934,1045.47998,131.1015778,1304.40918,1659998217676670.0,0.2417297399345524,1.25,0.26280777850875026,0.5477916687466828,0.22743629160869816,0.2150743170897504,2.8484699371956705,2.0412690755438545,1.7151272814773546,2.139904937086892
77.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5875397,1045.710449,131.0,1304.5,1659998217693336.8,0.2416719361817161,1.26666675,0.26280777850875026,0.5477916687466828,0.2273551619920029,0.2149076770207818,2.8484699371956705,2.0412690755438545,1.7155053697018987,2.140053928806182
78.0,160.1981812,1736.324951,333.9141235,1244.284302,138.577774,1045.668335,131.0,1304.5,1659998217710003.5,0.241659408287393,1.2833335,0.26280777850875026,0.5477916687466828,0.2273391411988618,0.2149076770207818,2.8484699371956705,2.0412690755438545,1.7154362809850283,2.140053928806182
79.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5944214,1045.829224,130.850769,1304.737793,1659998217726670.0,0.2416818083364924,1.3,0.26280777850875026,0.5477916687466828,0.22736645153521626,0.21466286108528956,2.8484699371956705,2.0412690755438545,1.7157002220632587,2.1404440321744405
80.0,160.1981812,1736.324951,333.9141235,1244.284302,138.4823761,1045.772461,130.850769,1304.737793,1659998217743336.8,0.2415433052784832,1.31666675,0.26280777850875026,0.5477916687466828,0.2271826393585438,0.21466286108528956,2.8484699371956705,2.0412690755438545,1.715607101418444,2.1404440321744405
81.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6873016,1045.806396,130.850769,1304.737793,1659998217760003.2,0.2417958874146118,1.33333325,0.26280777850875026,0.5477916687466828,0.22751882304684398,0.21466286108528956,2.8484699371956705,2.0412690755438545,1.7156627723498918,2.1404440321744405
82.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5862122,1045.799683,130.8579407,1304.689209,1659998217776670.0,0.2416713633332213,1.35,0.26280777850875026,0.5477916687466828,0.22735298420619185,0.2146746263783223,2.8484699371956705,2.0412690755438545,1.7156517595618321,2.140364329315048
83.0,160.1981812,1736.324951,333.9141235,1244.284302,138.7247162,1045.679932,130.873764,1304.639771,1659998217793336.8,0.2418403389899651,1.36666675,0.26280777850875026,0.5477916687466828,0.22758020231991768,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.7154553060562527,2.140283225454464
84.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5913391,1045.557739,130.873764,1304.639771,1659998217810003.5,0.2416746774889471,1.3833335,0.26280777850875026,0.5477916687466828,0.22736139497084312,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.7152548464090909,2.140283225454464
85.0,160.1981812,1736.324951,333.9141235,1244.284302,138.673233,1045.66333,130.873764,1304.639771,1659998217826670.2,0.2417767675021063,1.40000025,0.26280777850875026,0.5477916687466828,0.22749574327474523,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.7154280701993527,2.140283225454464
86.0,160.1981812,1736.324951,333.9141235,1244.284302,138.7371826,1045.785278,130.873764,1304.639771,1659998217843336.8,0.2418570506441593,1.41666675,0.26280777850875026,0.5477916687466828,0.22760065365629034,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.715628127919943,2.140283225454464
87.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5952454,1045.5,130.873764,1304.639771,1659998217860003.5,0.2416787098059438,1.4333335,0.26280777850875026,0.5477916687466828,0.22736780332090992,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.7151601246200565,2.140283225454464
88.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5428619,1045.466675,130.873764,1304.639771,1659998217876670.0,0.2416139050725301,1.45,0.26280777850875026,0.5477916687466828,0.2272818673186258,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.7151054544037454,2.140283225454464
89.0,160.1981812,1736.324951,333.9141235,1244.284302,138.7900696,1045.741943,130.873764,1304.639771,1659998217893336.8,0.2419216222687221,1.46666675,0.26280777850875026,0.5477916687466828,0.22768741565869186,0.21470058476493145,2.8484699371956705,2.0412690755438545,1.7155570361322812,2.140283225454464
90.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6898804,1045.764526,131.1210938,1305.121094,1659998217910003.5,0.2417985455012339,1.4833335,0.26280777850875026,0.5477916687466828,0.22752305361109967,0.21510633341207663,2.8484699371956705,2.0412690755438545,1.7155940839190762,2.14107284383482
91.0,160.1981812,1736.324951,333.9141235,1244.284302,138.7900696,1045.741943,131.0,1305.0,1659998217926670.0,0.2419216222687221,1.5,0.26280777850875026,0.5477916687466828,0.22768741565869186,0.2149076770207818,2.8484699371956705,2.0412690755438545,1.7155570361322812,2.140874187115422
92.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6898804,1045.764526,131.0,1305.0,1659998217943336.8,0.2417985455012339,1.51666675,0.26280777850875026,0.5477916687466828,0.22752305361109967,0.2149076770207818,2.8484699371956705,2.0412690755438545,1.7155940839190762,2.140874187115422
